Title,Prices,Link
"Appartamento via delle Belle Arti, Irnerio, Bologna",€ 10.000,https://www.immobiliare.it/annunci/103651386/
"Monolocale via delle Lame 71, Marconi, Bologna",€ 11.500,https://www.immobiliare.it/annunci/92740618/
